,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
86,https://www.sgcarmart.com/used_cars/info.php?ID=1278039&DL=3271&utm_content=SLeligible,Toyota,58900,10620,28-Sep-2009,158000,2009,1113,Auto,16350,13/03/2024,17853,17853,29485,2009,1598,1195,5,Mid-Sized Sedan
87,https://www.sgcarmart.com/used_cars/info.php?ID=1245202&DL=3137&utm_content=SLeligible,Infiniti,71800,17040,31-Oct-2017,,2016,1048,Auto,27977,13/03/2024,,,41617,1312,1461,1485,2,Hatchback
88,https://www.sgcarmart.com/used_cars/info.php?ID=1245017&DL=3495&utm_content=SLeligible,Toyota,38588,18690,26-Aug-2015,112000,2015,1196,Auto,20986,13/03/2024,25637,22892,57885,517,1986,1610,1,SUV
89,https://www.sgcarmart.com/used_cars/info.php?ID=1279029&DL=4217,Honda,92800,16750,21-Feb-2019,83000,2018,682,Auto,31466,13/03/2024,,,35403,1497,1496,1430,2,MPV
90,https://www.sgcarmart.com/used_cars/info.php?ID=1274445&DL=1024,Honda,116800,15050,15-Apr-2021,52000,2021,742,Auto,46790,13/03/2024,20166,20233,44589,2586,1597,1237,2,Mid-Sized Sedan
91,https://www.sgcarmart.com/used_cars/info.php?ID=1277350&DL=2817,MG,126800,16850,23-Feb-2021,42000,2020,680,Auto,47092,13/03/2024,19426,19426,46790,2229,1490,1563,1,SUV
92,https://www.sgcarmart.com/used_cars/info.php?ID=1278280&DL=1368,Honda,28000,15950,14-Sep-2015,120769,2015,682,Auto,12867,13/03/2024,18023,8023,56209,545,1496,1190,2,SUV
93,https://www.sgcarmart.com/used_cars/info.php?ID=1278623&DL=4419&utm_content=SLeligible,Toyota,67800,14160,26-Dec-2008,,2008,2457,Auto,15111,13/03/2024,34440,34440,31553,1732,2362,1845,5,MPV
94,https://www.sgcarmart.com/used_cars/info.php?ID=1278507&DL=3750&utm_content=SLeligible,Toyota,24800,12010,07-Apr-2006,172000,2006,1458,Auto,9802,13/03/2024,18711,17272,47450,734,1794,1300,4,MPV
95,https://www.sgcarmart.com/used_cars/info.php?ID=1278362&DL=4245&utm_content=SLeligible,Subaru,69800,13590,18-Dec-2009,,2009,1809,Auto,18181,13/03/2024,31676,31676,35411,1862,1994,1590,5,MPV
96,https://www.sgcarmart.com/used_cars/info.php?ID=1244324&DL=4064&utm_content=SLeligible,Porsche,121000,24360,29-Apr-2011,159000,2010,2938,Auto,15862,13/03/2024,78060,78060,31933,1495,2893,1435,6,Sports Car
97,https://www.sgcarmart.com/used_cars/info.php?ID=1248004&DL=1266&utm_content=SLeligible,Mercedes-Benz,61800,18520,04-Jan-2017,74997,2016,740,Auto,26036,13/03/2024,23217,19504,50991,1001,1595,1395,1,Hatchback
98,https://www.sgcarmart.com/used_cars/info.php?ID=1268538&DL=1339&utm_content=SLeligible,BMW,83800,20520,14-Jul-2017,114000,2017,684,Auto,36608,13/03/2024,31267,30774,49802,1215,1499,1430,2,SUV
99,https://www.sgcarmart.com/used_cars/info.php?ID=1278155&DL=2397,Suzuki,69800,13620,19-Nov-2018,56000,2018,392,Auto,21578,13/03/2024,11942,11942,28199,1705,998,940,1,Hatchback
100,https://www.sgcarmart.com/used_cars/info.php?ID=1256271&DL=1000,Mercedes-Benz,101800,52120,12-Dec-2014,60000,2014,3366,Auto,68383,13/03/2024,,,74389,248,2987,1975,2,Luxury
101,https://www.sgcarmart.com/used_cars/info.php?ID=1256667&DL=2080&utm_content=SLeligible,2019,95800,14960,15-Oct-2019,71000,2019,682,Auto,33104,13/03/2024,23040,24256,26667,2036,1496,1200,1,SUV
102,https://www.sgcarmart.com/used_cars/info.php?ID=1194427&DL=2792&utm_content=SLeligible,BMW,145800,25950,30-Jul-2018,46259,2018,1210,Auto,58503,13/03/2024,51225,64205,31001,1586,1998,1715,1,Sports Car
103,https://www.sgcarmart.com/used_cars/info.php?ID=1261114&DL=3163&utm_content=SLeligible,Toyota,62800,17570,17-Nov-2016,112000,2016,1196,Auto,33993,13/03/2024,31759,31463,56410,973,1986,1610,3,SUV
104,https://www.sgcarmart.com/used_cars/info.php?ID=1273227&DL=2389,Lexus,81800,21950,29-Nov-2016,55600,2016,1210,Auto,41897,13/03/2024,37509,44513,56000,975,1998,1620,2,Luxury Sedan
105,https://www.sgcarmart.com/used_cars/info.php?ID=1244879&DL=4449&utm_content=SLeligible,BMW,70000,14310,28-Apr-2009,158000,2008,2694,Auto,15324,13/03/2024,48331,48331,31335,1468,2497,1460,2,Luxury Sedan
106,https://www.sgcarmart.com/used_cars/info.php?ID=1278777&DL=4189&utm_content=SLeligible,Volkswagen,98888,11400,14-Nov-2012,120000,2012,744,Auto,72231,13/03/2024,24591,24591,83247,3160,1390,1417,2,Mid-Sized Sedan
107,https://www.sgcarmart.com/used_cars/info.php?ID=1278284&DL=3518,Kia,58800,13130,28-Mar-2018,158000,2017,738,Auto,22909,13/03/2024,11477,11477,36810,1464,1591,1295,1,Mid-Sized Sedan
108,https://www.sgcarmart.com/used_cars/info.php?ID=1260654&DL=3896&utm_content=SLeligible,BMW,48888,18120,28-Jan-2016,108888,2015,684,Auto,26652,13/03/2024,30537,29752,55089,369,1499,1425,3,Luxury Sedan
