,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
2061,16620.0,24114.46848707611,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276898&DL=3863
2062,68890.0,79061.42552484795,True,https://www.sgcarmart.com/used_cars/info.php?ID=1251671&DL=1111&utm_content=SLeligible
2063,16450.0,17450.03343507675,True,https://www.sgcarmart.com/used_cars/info.php?ID=1260528&DL=3163&utm_content=SLeligible
2066,13660.0,14474.375810979614,True,https://www.sgcarmart.com/used_cars/info.php?ID=1262192&DL=2793&utm_content=SLeligible
2070,14360.0,15456.461928685803,True,https://www.sgcarmart.com/used_cars/info.php?ID=1216706&DL=2976&utm_content=SLeligible
2071,13350.0,14228.886416891073,True,https://www.sgcarmart.com/used_cars/info.php?ID=1274399&DL=1047
2072,14800.0,17041.364770659235,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267106&DL=2440&utm_content=SLeligible
2073,23690.0,27830.289067977934,True,https://www.sgcarmart.com/used_cars/info.php?ID=1263673&DL=3887&utm_content=SLeligible
2077,13980.0,14307.14124433073,True,https://www.sgcarmart.com/used_cars/info.php?ID=1244350&DL=1054&utm_content=SLeligible
2080,23180.0,24642.267908525955,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278651&DL=2701
2082,17340.0,21562.9523713977,True,https://www.sgcarmart.com/used_cars/info.php?ID=1257774&DL=3283&utm_content=SLeligible
2086,12730.0,13340.684504647681,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278056&DL=2224
2087,17010.0,19309.613996527976,True,https://www.sgcarmart.com/used_cars/info.php?ID=1236722&DL=3987&utm_content=SLeligible
2089,13980.0,15938.291234976576,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277347&DL=1024
2092,10860.0,15069.907010691008,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278017&DL=1268&utm_content=SLeligible
2099,17980.0,18402.94481632832,True,https://www.sgcarmart.com/used_cars/info.php?ID=1252284&DL=2296&utm_content=SLeligible
2100,18740.0,21994.544742010945,True,https://www.sgcarmart.com/used_cars/info.php?ID=1245674&DL=3887&utm_content=SLeligible
2101,11840.0,17157.1567595753,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277187&DL=3750&utm_content=SLeligible
2113,11670.0,13524.805870107306,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276449&DL=3318&utm_content=SLeligible
2116,12620.0,13085.887274058445,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275464&DL=1026
2119,23950.0,25670.792435650113,True,https://www.sgcarmart.com/used_cars/info.php?ID=1172869&DL=3961&utm_content=SLeligible
2121,15210.0,15678.807918757797,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267575&DL=3811&utm_content=SLeligible
